Country,Year,GDP Growth (%),Unemployment Rate (%)
AR,2021,10.7180099337095,8.736
AR,2022,4.95636996008236,6.805
AU,2021,2.11183088925151,5.116
AU,2022,4.26894639349867,3.701
BR,2021,4.76260437908608,13.159
BR,2022,3.01669435393015,9.231
CA,2021,5.28695689105889,7.527
CA,2022,3.81986633913397,5.28
CN,2021,8.44846941687277,4.55
CN,2022,2.98908408613474,4.98
DE,2021,3.16381994194575,3.638
DE,2022,1.80620896724351,3.135
EU,2021,6.00872929242561,7.02260813084773
EU,2022,3.47865373531921,6.1470759507747
FR,2021,6.43520962104938,7.874
FR,2022,2.45475817660707,7.308
GB,2021,8.67490411442573,4.826
GB,2022,4.34522883436574,3.73
ID,2021,3.70288562827751,3.827
ID,2022,5.30741934775764,3.462
IN,2021,9.68959249191211,6.38
IN,2022,6.98703932576051,4.822
IT,2021,8.3102399077017,9.497
IT,2022,3.98589744251659,8.069
JP,2021,2.55932023865617,2.828
JP,2022,0.954736937781391,2.6
KR,2021,4.30473481906969,3.639
KR,2022,2.61267219187226,2.857
MX,2021,5.73920833768318,4.019
MX,2022,3.94899999903839,3.256
RU,2021,5.61429037578345,4.715
RU,2022,-2.06971152527731,3.867
SA,2021,5.07511034987979,6.621
SA,2022,7.48598429134137,5.589
TR,2021,11.4393847446421,11.969
TR,2022,5.53346926596379,10.432
US,2021,5.8002061284573,5.349
US,2022,1.93549589483209,3.65
VN,2021,2.55372852648131,2.385
VN,2022,8.12351446767343,1.535
ZA,2021,4.70306206485731,28.77
ZA,2022,1.91040617007184,28.838
